           h                   log(h)                     E(h)
1.305483e-004 -8.943767e+000 1.465083e-004
1.307190e-004 -8.942461e+000 1.466999e-004
1.308901e-004 -8.941153e+000 1.468919e-004
1.310616e-004 -8.939843e+000 1.470844e-004
1.312336e-004 -8.938532e+000 1.472775e-004
1.314060e-004 -8.937218e+000 1.474710e-004
1.315789e-004 -8.935904e+000 1.476651e-004
1.317523e-004 -8.934587e+000 1.478596e-004
1.319261e-004 -8.933268e+000 1.480547e-004
1.321004e-004 -8.931948e+000 1.482503e-004
1.322751e-004 -8.930626e+000 1.484464e-004
1.324503e-004 -8.929303e+000 1.486430e-004
1.326260e-004 -8.927977e+000 1.488402e-004
1.328021e-004 -8.926650e+000 1.490379e-004
1.329787e-004 -8.925321e+000 1.492361e-004
1.331558e-004 -8.923991e+000 1.494348e-004
1.333333e-004 -8.922658e+000 1.496341e-004
1.335113e-004 -8.921324e+000 1.498338e-004
1.336898e-004 -8.919988e+000 1.500342e-004
1.338688e-004 -8.918650e+000 1.502350e-004
1.340483e-004 -8.917311e+000 1.504364e-004
1.342282e-004 -8.915969e+000 1.506384e-004
1.344086e-004 -8.914626e+000 1.508409e-004
1.345895e-004 -8.913281e+000 1.510439e-004
1.347709e-004 -8.911934e+000 1.512475e-004
1.349528e-004 -8.910586e+000 1.514516e-004
1.351351e-004 -8.909235e+000 1.516563e-004
1.353180e-004 -8.907883e+000 1.518615e-004
1.355014e-004 -8.906529e+000 1.520673e-004
1.356852e-004 -8.905173e+000 1.522736e-004
1.358696e-004 -8.903815e+000 1.524805e-004
1.360544e-004 -8.902456e+000 1.526880e-004
1.362398e-004 -8.901094e+000 1.528960e-004
1.364256e-004 -8.899731e+000 1.531047e-004
1.366120e-004 -8.898366e+000 1.533138e-004
1.367989e-004 -8.896999e+000 1.535236e-004
1.369863e-004 -8.895630e+000 1.537339e-004
1.371742e-004 -8.894259e+000 1.539448e-004
1.373626e-004 -8.892886e+000 1.541563e-004
1.375516e-004 -8.891512e+000 1.543683e-004
1.377410e-004 -8.890135e+000 1.545810e-004
1.379310e-004 -8.888757e+000 1.547942e-004
1.381215e-004 -8.887376e+000 1.550080e-004
1.383126e-004 -8.885994e+000 1.552224e-004
1.385042e-004 -8.884610e+000 1.554374e-004
1.386963e-004 -8.883224e+000 1.556530e-004
1.388889e-004 -8.881836e+000 1.558692e-004
1.390821e-004 -8.880446e+000 1.560860e-004
1.392758e-004 -8.879055e+000 1.563034e-004
1.394700e-004 -8.877661e+000 1.565214e-004
1.396648e-004 -8.876265e+000 1.567401e-004
1.398601e-004 -8.874868e+000 1.569593e-004
1.400560e-004 -8.873468e+000 1.571791e-004
1.402525e-004 -8.872067e+000 1.573996e-004
1.404494e-004 -8.870663e+000 1.576207e-004
1.406470e-004 -8.869258e+000 1.578424e-004
1.408451e-004 -8.867850e+000 1.580647e-004
1.410437e-004 -8.866441e+000 1.582877e-004
1.412429e-004 -8.865029e+000 1.585113e-004
1.414427e-004 -8.863616e+000 1.587355e-004
1.416431e-004 -8.862200e+000 1.589603e-004
1.418440e-004 -8.860783e+000 1.591858e-004
1.420455e-004 -8.859363e+000 1.594120e-004
1.422475e-004 -8.857942e+000 1.596387e-004
1.424501e-004 -8.856518e+000 1.598662e-004
1.426534e-004 -8.855093e+000 1.600942e-004
1.428571e-004 -8.853665e+000 1.603229e-004
1.430615e-004 -8.852236e+000 1.605523e-004
1.432665e-004 -8.850804e+000 1.607824e-004
1.434720e-004 -8.849371e+000 1.610131e-004
1.436782e-004 -8.847935e+000 1.612444e-004
1.438849e-004 -8.846497e+000 1.614764e-004
1.440922e-004 -8.845057e+000 1.617091e-004
1.443001e-004 -8.843615e+000 1.619425e-004
1.445087e-004 -8.842171e+000 1.621765e-004
1.447178e-004 -8.840725e+000 1.624112e-004
1.449275e-004 -8.839277e+000 1.626466e-004
1.451379e-004 -8.837826e+000 1.628827e-004
1.453488e-004 -8.836374e+000 1.631195e-004
1.455604e-004 -8.834919e+000 1.633569e-004
1.457726e-004 -8.833463e+000 1.635951e-004
1.459854e-004 -8.832004e+000 1.638339e-004
1.461988e-004 -8.830543e+000 1.640735e-004
1.464129e-004 -8.829080e+000 1.643137e-004
1.466276e-004 -8.827615e+000 1.645547e-004
1.468429e-004 -8.826147e+000 1.647963e-004
1.470588e-004 -8.824678e+000 1.650387e-004
1.472754e-004 -8.823206e+000 1.652817e-004
1.474926e-004 -8.821732e+000 1.655255e-004
1.477105e-004 -8.820256e+000 1.657701e-004
1.479290e-004 -8.818778e+000 1.660153e-004
1.481481e-004 -8.817298e+000 1.662613e-004
1.483680e-004 -8.815815e+000 1.665080e-004
1.485884e-004 -8.814330e+000 1.667554e-004
1.488095e-004 -8.812843e+000 1.670036e-004
1.490313e-004 -8.811354e+000 1.672525e-004
1.492537e-004 -8.809863e+000 1.675021e-004
1.494768e-004 -8.808369e+000 1.677525e-004
1.497006e-004 -8.806873e+000 1.680037e-004
1.499250e-004 -8.805375e+000 1.682556e-004
1.501502e-004 -8.803875e+000 1.685082e-004
1.503759e-004 -8.802372e+000 1.687616e-004
1.506024e-004 -8.800867e+000 1.690158e-004
1.508296e-004 -8.799360e+000 1.692707e-004
1.510574e-004 -8.797851e+000 1.695265e-004
1.512859e-004 -8.796339e+000 1.697829e-004
1.515152e-004 -8.794825e+000 1.700402e-004
1.517451e-004 -8.793309e+000 1.702983e-004
