           h                   log(h)                     E(h)
1.221001e-004 -9.010669e+000 4.530750e-009
1.222494e-004 -9.009447e+000 4.541855e-009
1.223990e-004 -9.008224e+000 4.552999e-009
1.225490e-004 -9.006999e+000 4.564127e-009
1.226994e-004 -9.005773e+000 4.575297e-009
1.228501e-004 -9.004545e+000 4.586641e-009
1.230012e-004 -9.003316e+000 4.597873e-009
1.231527e-004 -9.002085e+000 4.609251e-009
1.233046e-004 -9.000853e+000 4.620564e-009
1.234568e-004 -8.999619e+000 4.631973e-009
1.236094e-004 -8.998384e+000 4.643397e-009
1.237624e-004 -8.997147e+000 4.655021e-009
1.239157e-004 -8.995909e+000 4.666480e-009
1.240695e-004 -8.994669e+000 4.678065e-009
1.242236e-004 -8.993427e+000 4.689744e-009
1.243781e-004 -8.992184e+000 4.701334e-009
1.245330e-004 -8.990940e+000 4.713061e-009
1.246883e-004 -8.989694e+000 4.724827e-009
1.248439e-004 -8.988446e+000 4.736710e-009
1.250000e-004 -8.987197e+000 4.748488e-009
1.251564e-004 -8.985946e+000 4.760360e-009
1.253133e-004 -8.984694e+000 4.772393e-009
1.254705e-004 -8.983440e+000 4.784301e-009
1.256281e-004 -8.982184e+000 4.796409e-009
1.257862e-004 -8.980927e+000 4.808480e-009
1.259446e-004 -8.979669e+000 4.820573e-009
1.261034e-004 -8.978408e+000 4.832756e-009
1.262626e-004 -8.977146e+000 4.844972e-009
1.264223e-004 -8.975883e+000 4.857241e-009
1.265823e-004 -8.974618e+000 4.869459e-009
1.267427e-004 -8.973351e+000 4.881781e-009
1.269036e-004 -8.972083e+000 4.894287e-009
1.270648e-004 -8.970813e+000 4.906634e-009
1.272265e-004 -8.969542e+000 4.919150e-009
1.273885e-004 -8.968269e+000 4.931765e-009
1.275510e-004 -8.966994e+000 4.944283e-009
1.277139e-004 -8.965718e+000 4.956961e-009
1.278772e-004 -8.964440e+000 4.969601e-009
1.280410e-004 -8.963160e+000 4.982385e-009
1.282051e-004 -8.961879e+000 4.995192e-009
1.283697e-004 -8.960596e+000 5.007945e-009
1.285347e-004 -8.959312e+000 5.020915e-009
1.287001e-004 -8.958025e+000 5.033776e-009
1.288660e-004 -8.956738e+000 5.046782e-009
1.290323e-004 -8.955448e+000 5.059831e-009
1.291990e-004 -8.954157e+000 5.072869e-009
1.293661e-004 -8.952864e+000 5.086066e-009
1.295337e-004 -8.951570e+000 5.099259e-009
1.297017e-004 -8.950273e+000 5.112455e-009
1.298701e-004 -8.948976e+000 5.125775e-009
1.300390e-004 -8.947676e+000 5.139106e-009
1.302083e-004 -8.946375e+000 5.152492e-009
1.303781e-004 -8.945072e+000 5.165945e-009
1.305483e-004 -8.943767e+000 5.179394e-009
1.307190e-004 -8.942461e+000 5.193007e-009
1.308901e-004 -8.941153e+000 5.206603e-009
1.310616e-004 -8.939843e+000 5.220262e-009
1.312336e-004 -8.938532e+000 5.233989e-009
1.314060e-004 -8.937218e+000 5.247657e-009
1.315789e-004 -8.935904e+000 5.261564e-009
1.317523e-004 -8.934587e+000 5.275423e-009
1.319261e-004 -8.933268e+000 5.289323e-009
1.321004e-004 -8.931948e+000 5.303317e-009
1.322751e-004 -8.930626e+000 5.317374e-009
1.324503e-004 -8.929303e+000 5.331377e-009
1.326260e-004 -8.927977e+000 5.345567e-009
1.328021e-004 -8.926650e+000 5.359752e-009
1.329787e-004 -8.925321e+000 5.374103e-009
1.331558e-004 -8.923991e+000 5.388321e-009
1.333333e-004 -8.922658e+000 5.402780e-009
1.335113e-004 -8.921324e+000 5.417189e-009
1.336898e-004 -8.919988e+000 5.431709e-009
1.338688e-004 -8.918650e+000 5.446277e-009
1.340483e-004 -8.917311e+000 5.460875e-009
1.342282e-004 -8.915969e+000 5.475562e-009
1.344086e-004 -8.914626e+000 5.490278e-009
1.345895e-004 -8.913281e+000 5.505060e-009
1.347709e-004 -8.911934e+000 5.519869e-009
1.349528e-004 -8.910586e+000 5.534776e-009
1.351351e-004 -8.909235e+000 5.549701e-009
1.353180e-004 -8.907883e+000 5.564820e-009
1.355014e-004 -8.906529e+000 5.579933e-009
1.356852e-004 -8.905173e+000 5.595060e-009
1.358696e-004 -8.903815e+000 5.610272e-009
1.360544e-004 -8.902456e+000 5.625554e-009
1.362398e-004 -8.901094e+000 5.640855e-009
1.364256e-004 -8.899731e+000 5.656224e-009
1.366120e-004 -8.898366e+000 5.671761e-009
1.367989e-004 -8.896999e+000 5.687219e-009
1.369863e-004 -8.895630e+000 5.702890e-009
1.371742e-004 -8.894259e+000 5.718557e-009
1.373626e-004 -8.892886e+000 5.734228e-009
1.375516e-004 -8.891512e+000 5.750067e-009
1.377410e-004 -8.890135e+000 5.765884e-009
1.379310e-004 -8.888757e+000 5.781735e-009
1.381215e-004 -8.887376e+000 5.797747e-009
1.383126e-004 -8.885994e+000 5.813818e-009
1.385042e-004 -8.884610e+000 5.829957e-009
1.386963e-004 -8.883224e+000 5.846079e-009
1.388889e-004 -8.881836e+000 5.862327e-009
1.390821e-004 -8.880446e+000 5.878648e-009
1.392758e-004 -8.879055e+000 5.895118e-009
1.394700e-004 -8.877661e+000 5.911549e-009
1.396648e-004 -8.876265e+000 5.928088e-009
1.398601e-004 -8.874868e+000 5.944700e-009
1.400560e-004 -8.873468e+000 5.961308e-009
1.402525e-004 -8.872067e+000 5.978032e-009
1.404494e-004 -8.870663e+000 5.994869e-009
1.406470e-004 -8.869258e+000 6.011678e-009
1.408451e-004 -8.867850e+000 6.028632e-009
1.410437e-004 -8.866441e+000 6.045724e-009
1.412429e-004 -8.865029e+000 6.062764e-009
1.414427e-004 -8.863616e+000 6.079914e-009
1.416431e-004 -8.862200e+000 6.097207e-009
1.418440e-004 -8.860783e+000 6.114507e-009
